firm_id,size,age,sector_code,sector_description,productivity,debt_ratio,profitability,region,aid_received,p_treatment,grant_amount,log_grant_amount,true_effect,employment_growth,value_added_growth,sales_growth
1,30,40,C,Manufacturing,67.83839691883678,0.35787781636018734,0.15063339016295835,Murcia,1,0.5353703015626409,5138.028620476833,8.544619356246391,2.3005061528281807,1.3619388185105206,16.586934248175204,20.40113921548024
2,18,1,J,Information and communication,60.00867721143863,0.16048914864978972,0.06893145450765714,Galicia,0,0.5656202165132297,0.0,0.0,2.5675976234645965,4.247374552021402,7.622025559806481,13.900067570460374
3,34,4,C,Manufacturing,49.57673181594156,0.05404294884400534,0.023459789772377795,Valencia,1,0.5295452113101757,3743.221402881322,8.227968971234024,1.6057243693154102,1.6136341228448852,10.424805842615811,17.002716244783972
4,68,30,J,Information and communication,70.464893662563,0.05326320661422225,0.10545341949645015,Andalusia,1,0.5606201099755497,4489.556008094839,8.40973180560751,3.379385730011408,1.9983724577566138,18.372236532737112,24.844549961483985
5,17,12,H,Transportation and storage,59.9380405009792,0.2068221327040392,0.06044715715335353,Madrid,1,0.5324694971093205,2746.2207770827918,7.9183450531179576,1.3245582723057527,6.433165673389512,13.315885437718451,15.810582708471935
6,17,35,G,Wholesale and retail trade,37.65716147722351,0.46711024624381026,0.06964494471683763,Canary Islands,0,0.5145275242629349,0.0,0.0,1.2414613685284248,0.4994399044843614,8.19219998113169,7.161026393972448
7,71,13,I,Accommodation and food service activities,34.411697540138505,0.3558290497589771,0.0872452967169884,Andalusia,0,0.5060102664137369,0.0,0.0,0.7042879256424079,4.173599442263644,9.632257580946924,7.293422758899123
8,37,31,J,Information and communication,62.26972316680792,0.2894451721159875,0.03938935821256555,Madrid,0,0.5451879547303797,0.0,0.0,2.3852520595520916,0.6222398054087457,6.669237787130127,12.840703357786476
9,14,38,N,Administrative and support service activities,55.945504347010264,0.5026381252417612,-0.0010568177060179679,Aragon,1,0.5212329198791786,2944.2476741590554,7.987948192433719,1.0008169182283413,-0.08888074359836207,8.049278223995344,13.652211505553609
10,31,43,F,Construction,52.54621651955993,0.2037659623971883,0.07743651926328311,Balearic Islands,0,0.5178561974982211,0.0,0.0,1.197696202798411,1.612092051912899,10.315999070722079,14.115079434243839
11,14,23,N,Administrative and support service activities,37.30253295696639,0.4033884756996151,0.12819588513169178,Castile and Leon,0,0.5200295196142412,0.0,0.0,1.7136368538700488,-0.6063431643129076,8.818535304120036,11.462043707920902
12,14,4,Q,Human health and social work activities,59.11921350508631,0.33163527937281934,0.03492043705441224,Madrid,1,0.5301336615580736,3077.7245548710935,8.0322706846409,1.2035568556780438,4.367866595060356,12.920030495901996,17.154103661083347
13,24,16,M,"Professional, scientific and technical activities",38.667516752990764,0.26747888429505584,0.08769811331328176,Galicia,0,0.5365672688390895,0.0,0.0,1.8231962832348518,3.238318158484728,12.875515325777329,12.405762910289145
14,4,7,M,"Professional, scientific and technical activities",48.47020018109483,0.19748523955228184,0.15527535742745985,Basque Country,1,0.5501837256716059,2927.962983593235,7.982403708848672,2.8712167622586664,6.909974644912523,11.670583398506423,20.339529455147304
15,5,22,J,Information and communication,71.7041621958047,0.03923433344020988,0.07551175563630762,Aragon,1,0.5706509517071713,5096.928398409327,8.536589539801989,2.857807288517837,5.034133611807302,17.04533337090305,24.43030148096257
16,13,29,C,Manufacturing,40.087486462847814,0.24575863762539427,0.08430471858979295,Andalusia,0,0.5266529809798455,0.0,0.0,1.403116227003084,4.68984923327557,7.510842278651371,12.155376434440704
17,9,11,H,Transportation and storage,26.405161143907087,0.4123718589604246,0.08276061768001931,Andalusia,1,0.5178171718654871,3591.3518415287162,8.18656237605298,0.8156797524786461,0.4803301580611923,8.304813784078842,8.695068212100761
18,26,33,J,Information and communication,34.21179212194834,0.22973119936701492,0.045882778705347,Murcia,1,0.5362650509926686,3446.8940017786053,8.14551888936748,2.2083867218524684,4.253757259985287,11.160591229812715,12.582969989663543
19,10,29,N,Administrative and support service activities,64.91448240031434,0.30590213456838045,0.030332274078331195,Valencia,0,0.5427107584932327,0.0,0.0,1.303242689434763,2.2328839301064427,9.371509956214263,15.039672754220353
20,6,39,H,Transportation and storage,53.82096706070314,0.12162662685201575,0.030536881533946278,Valencia,1,0.5326360152295166,3466.6139504121033,8.151222014060595,1.3925830437550157,7.6438698383809704,12.356154403177761,19.592129361760104
21,65,12,M,"Professional, scientific and technical activities",48.066839319668695,0.049136517045769074,0.09840915985036366,Madrid,1,0.5314464082699147,5394.760064725959,8.593368750943545,1.971531876150918,6.598664164571238,12.26172779949128,22.480472645457613
22,17,7,J,Information and communication,42.36359292032646,0.21199034438527106,0.1178936180966372,Navarre,0,0.5478148662730692,0.0,0.0,3.1436455848179934,2.0739744051045177,8.31677095162447,13.669588379039146
23,21,39,F,Construction,57.28039861329785,0.40802319999331466,0.1202541119218926,Madrid,1,0.5222018188891707,2779.144274506662,7.930258102642619,1.8807807861396637,4.582548527595864,14.839060388047164,19.33259720546273
24,6,42,C,Manufacturing,37.26342723514665,0.28948244461149447,0.06107285731222688,Valencia,1,0.5179827036309119,3779.0377075596343,8.237489264108754,1.3591518277399721,6.264421401440464,14.32607605584263,16.16391622777397
25,13,48,J,Information and communication,54.58498352963894,0.14294447901029406,0.13466542704653234,Madrid,1,0.5518252926767474,4870.759922620122,8.491210531209271,3.3509053562860958,4.1955776352547485,11.206313100201058,24.671408339822896
26,22,26,F,Construction,39.031181467805645,0.06881199264244955,0.09536819097552132,Catalonia,1,0.5186301200071716,2992.07992428976,8.004058211234804,1.2334998220356068,-0.8557643745805121,12.370226778959367,12.796656640320581
27,8,40,F,Construction,36.53510922087419,0.47805064411712833,0.08353711108955096,Cantabria,0,0.5078775646527217,0.0,0.0,0.8553004480916135,-0.18808505962076794,8.16092789831236,16.67689719115658
28,27,9,I,Accommodation and food service activities,40.437688477624825,0.2589937802500762,-0.08696783313017926,Catalonia,0,0.507841496568511,0.0,0.0,1.037383104526172,1.0522586421268136,5.763264083572092,14.67572112891177
